Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,-0.19960561878528518,-0.20711111479079086,-0.2575477639045326,-0.288931152055979,-0.2774823944589116,-0.27846626876584557,-0.2705497472622801,-0.30405101417234454,-0.2349986801571402,-0.23671615803184098,-0.2508486242619728,-0.22747851105738015,-0.1880484943929764,-0.21701306613175256,-0.2277647524022397,-0.224926389968049,-0.24751972057107627,-0.1895589507178402,-0.1799046075523933,-0.24820847967765303,-0.32423950431859655,-0.3455058096114337,-0.33501274093930433,-0.19393289569078423,-0.22046012187301942,-0.21704573978128683,-0.26024880818400986,-0.29890170063193305,-0.2037977037768298,-0.16548174380918362,-0.20155056276908886,-0.23642706612124,-0.25742601704074974,-0.2872283363629762,-0.3030488765031394,-0.2256414243521128,-0.28515255291079955,-0.3499495373884528,-0.365997840678775,-0.3622572858762593,-0.3544886637064345,-0.3554874582455453,-0.3406031662269859,-0.321733724780189,-0.308832653118515,-0.3145354330736654,-0.28181293098679877,-0.3254493542490247,-0.3250797526860236,-0.3118679290073415,-0.3060991706216009,-0.30970404222246467,-0.2503538603355329,-0.2527493787347226,-0.2577530385142831,-0.29172532950641317,-0.28167338842314693,-0.25130333445107195
Africa Eastern and Southern,AFE,2.3817554503111116,2.2025341744200837,2.9592110521010624,2.8102696766642885,2.7502095460384233,3.317383589251418,4.608648290789868,3.9407418317279923,3.9167435547103326,4.802117912850134,4.049778448846484,2.9017661907454353,3.186051988514378,3.284120632267038,1.0566933344887264,1.5878098596196186,1.389663452602575,2.2046850659194734,3.024038183692672,1.5967285439697807,0.7986987929275438,0.6728973432563178,1.5680582032492192,1.9370633214194592,1.1930887270778312,1.3073751834329441,1.169371096419622,0.8579103573758404,1.1691303202202505,1.2446671371127465,1.1852674779993129,1.690055772757754,1.2914192344124076,1.0251707153584424,1.0961699851043776,1.327383117755634,1.5316372149454673,1.3324554973638214,-0.2256414243521128,-0.28515255291079955,0.08635601558673862,0.44086264581031903,0.25194689188377994,-0.049414615867195144,-0.3470868012545667,-0.3406031662269859,-0.321733724780189,-0.308832653118515,-0.3145354330736654,-0.28181293098679877,-0.3254493542490247,-0.3250797526860236,-0.3118679290073415,-0.3060991706216009,-0.30970404222246467,-0.2503538603355329,-0.2527493787347226,-0.2577530385142831,-0.29172532950641317,-0.28167338842314693,-0.25130333445107195
Afghanistan,AFG,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,-0.19960561878528518,-0.20711111479079086,-0.2575477639045326,-0.288931152055979,-0.2774823944589116,-0.27846626876584557,-0.2705497472622801,-0.30405101417234454,-0.2349986801571402,-0.23671615803184098,-0.227895831077683,-0.22747851105738015,-0.1880484943929764,-0.21701306613175256,-0.2277647524022397,-0.224926389968049,-0.24751972057107627,-0.17437360451323605,-0.16983595314095604,-0.24820847967765303,-0.32423950431859655,-0.3455058096114337,-0.33501274093930433,-0.19393289569078423,-0.22046012187301942,-0.21704573978128683,-0.26024880818400986,-0.29890170063193305,-0.2037977037768298,-0.16548174380918362,-0.1796116951001372,-0.23642706612124,-0.25742601704074974,-0.2872283363629762,-0.3030488765031394,-0.2256414243521128,-0.28515255291079955,-0.3499495373884528,-0.365997840678775,-0.3622572858762593,-0.3544886637064345,-0.3554874582455453,-0.3406031662269859,-0.321733724780189,-0.308832653118515,-0.3145354330736654,-0.28181293098679877,-0.3254493542490247,-0.3250797526860236,-0.3118679290073415,-0.3060991706216009,-0.30970404222246467,-0.2503538603355329,-0.2527493787347226,-0.2577530385142831,-0.29172532950641317,-0.28167338842314693,-0.25130333445107195
Africa Western and Central,AFW,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,-0.19960561878528518,-0.20711111479079086,-0.2575477639045326,-0.288931152055979,-0.2774823944589116,0.0669489663643417,0.20934798142499556,-0.015891804162697764,-0.09451894255003651,0.6398626250652956,1.0325035678349497,1.2904229470620812,0.46872019139053106,0.5407262006146587,-0.03323340330366256,-0.224926389968049,0.8674264713477462,-0.13567713408257498,-0.1799046075523933,-0.24820847967765303,-0.32423950431859655,0.8786658593528178,1.1672474665169177,0.009499365325569206,0.04086231662027048,0.05883317810186868,0.3392675352300497,0.33357621247374464,-0.2037977037768298,-0.16548174380918362,-0.20155056276908886,-0.14545255206530236,-0.2083985344940054,0.26578668593253363,0.17897637867931118,-0.2256414243521128,-0.20436442616311096,0.3690352220878563,0.05496622918776232,0.07700234886943515,-0.0023393507574723032,0.17342696929346677,0.3009949487538721,0.2946981170209416,0.1995382561156019,0.48098086355518027,0.2547918608132052,0.5636378384638705,0.935965865575585,0.6329174928783192,0.35343775959201457,0.1642714684252791,-0.17523331150086363,-0.2527493787347226,-0.1333277391489985,0.042447679582894034,-0.05193601074661127,-0.23993387005263897
Angola,AGO,-0.16267472811520636,-0.10979082630773453,-0.1425302974913487,-0.16534651302254644,-0.1443293649394457,-0.2506135062033855,-0.2618032544988543,-0.2774823944589116,-0.27846626876584557,-0.2705497472622801,-0.21631503561388704,-0.2349986801571402,-0.12483328988610494,-0.047172231851088604,-0.09070545209155273,-0.1880484943929764,-0.21701306613175256,-0.2277647524022397,-0.224926389968049,-0.24751972057107627,-0.1895589507178402,-0.1799046075523933,-0.18146344128193098,-0.08140839038750385,-0.20308547811811895,-0.20243190602145264,-0.13220328182742463,-0.10143394903680816,-0.08804281292536187,-0.06647225147268893,-0.012091201142219253,-0.007469128813282984,-0.061905565294260737,-0.06083262411883424,-0.10628557805659707,-0.13007445328738118,-0.08323244081053077,-0.18425257134929465,-0.16265502247926367,-0.17157169848026207,0.22025080250039575,0.3461387104363425,0.1816492002597296,0.10675867657636626,0.11297017026963425,0.036672986709912606,-0.022923340071371007,0.0699880099767004,0.17272088089183074,0.053648541792131264,0.24044585926756568,0.2669128354220204,0.17039601622784278,0.22455162158040098,0.0350878373483102,-0.15338168835362798,-0.11507078397347849,-0.03607489988629992,0.04264405125713042,-0.0881270591434112,-0.2172078394847864
Albania,ALB,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,-0.19960561878528518,-0.20711111479079086,-0.2575477639045326,-0.288931152055979,-0.2774823944589116,-0.27846626876584557,-0.2705497472622801,-0.30405101417234454,-0.2349986801571402,-0.23671615803184098,-0.2508486242619728,-0.22747851105738015,-0.1880484943929764,-0.21701306613175256,-0.2277647524022397,-0.224926389968049,-0.24751972057107627,-0.1895589507178402,-0.17775600301088954,-0.24820847967765303,-0.32423950431859655,-0.3455058096114337,-0.33501274093930433,-0.1898665808292061,-0.22046012187301942,-0.21704573978128683,-0.26024880818400986,-0.29890170063193305,-0.2037977037768298,-0.16548174380918362,-0.20155056276908886,-0.23642706612124,-0.25742601704074974,-0.2872283363629762,-0.3030488765031394,-0.2256414243521128,-0.28515255291079955,-0.3499495373884528,-0.365997840678775,-0.3622572858762593,-0.3544886637064345,-0.3554874582455453,-0.3406031662269859,-0.321733724780189,-0.308832653118515,-0.3145354330736654,-0.28181293098679877,-0.3254493542490247,-0.3250797526860236,-0.3118679290073415,-0.3060991706216009,-0.30970404222246467,-0.2503538603355329,-0.2527493787347226,-0.2577530385142831,-0.29172532950641317,-0.28167338842314693,-0.25130333445107195
Andorra,AND,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,-0.19960561878528518,-0.20711111479079086,-0.2575477639045326,-0.288931152055979,-0.2774823944589116,-0.27846626876584557,-0.2705497472622801,-0.30405101417234454,-0.2349986801571402,-0.23671615803184098,-0.2508486242619728,-0.22747851105738015,-0.1880484943929764,-0.21701306613175256,-0.2277647524022397,-0.224926389968049,-0.24751972057107627,-0.1895589507178402,-0.1799046075523933,-0.24820847967765303,-0.32423950431859655,-0.3455058096114337,-0.33501274093930433,-0.19393289569078423,-0.22046012187301942,-0.21704573978128683,-0.26024880818400986,-0.29890170063193305,-0.2037977037768298,-0.16548174380918362,-0.20155056276908886,-0.23642706612124,-0.25742601704074974,-0.2872283363629762,-0.3030488765031394,-0.2256414243521128,-0.28515255291079955,-0.3499495373884528,-0.365997840678775,-0.3622572858762593,-0.3544886637064345,-0.3554874582455453,-0.3406031662269859,-0.321733724780189,-0.308832653118515,-0.3145354330736654,-0.28181293098679877,-0.3254493542490247,-0.3250797526860236,-0.3118679290073415,-0.3060991706216009,-0.30970404222246467,-0.2503538603355329,-0.2527493787347226,-0.2577530385142831,-0.29172532950641317,-0.28167338842314693,-0.25130333445107195
Arab World,ARB,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,-0.19960561878528518,-0.20711111479079086,1.339853060433859,0.43007211655208044,1.3361442036097833,3.04259353639639,3.12534783752172,3.0055602709143443,5.43233634823664,1.8559264703850484,5.000219714999458,8.184376437235615,8.362172564892983,9.998608601816743,8.523808857228147,5.635001075114789,9.245397881552071,9.687283523531798,8.685690520218794,6.13246784813123,1.5729912951095744,0.9658863237814899,2.187663819668411,-0.19393289569078423,1.0151095278243196,-0.21704573978128683,1.9813308652844224,4.717222182899649,3.1826268744862296,0.5389874019600115,-0.20155056276908886,0.12720734231617367,0.6902174508150258,2.2164212199280255,2.4377954392144057,-0.2256414243521128,0.44177408422059716,5.30379363770589,5.290866881883115,3.7357719627667345,4.587072772970525,4.4420757923461665,4.843319059280611,4.336953973406192,3.615499217465245,4.926866064439477,0.3366997018390005,3.6406000241883283,6.273980476219995,6.587567963127113,5.121689072938568,3.1033003757111275,-0.2503538603355329,-0.2527493787347226,-0.2577530385142831,2.086857387151403,1.3493932039697203,-0.220032037712989
United Arab Emirates,ARE,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,-0.19960561878528518,-0.20711111479079086,-0.2575477639045326,-0.288931152055979,-0.2774823944589116,-0.27846626876584557,-0.2705497472622801,-0.30405101417234454,-0.2349986801571402,-0.23671615803184098,-0.2508486242619728,-0.22747851105738015,-0.1880484943929764,1.170735687300898,1.1156677822438663,1.260273023725897,0.788871182541592,0.938064484075594,1.057474349068479,1.4255078356691568,1.3063156634109256,0.7789966904689827,0.9988234970909139,0.5393284164971313,0.5526971507910686,0.3386338109784877,0.6871495802750767,1.1687748654821277,1.3271773354116687,0.44651510057361515,-0.033831909791344705,-0.19261921140723182,0.003428540345398082,0.1315708079935153,0.24857379335934732,-0.17090256651580701,-0.28515255291079955,0.3160645026261993,0.20678364114652698,-0.0037930112733807896,0.09983594079351654,-0.3436445792424435,0.003794180901031584,-0.030871760207592105,-0.21529209124607984,-0.08726544768456017,-0.28181293098679877,-0.3254493542490247,-0.0750077568916463,-0.28241036894843724,-0.3060991706216009,-0.30970404222246467,-0.2503538603355329,-0.2527493787347226,-0.2577530385142831,-0.14208600502822,-0.24747872745937433,-0.25130333445107195
Argentina,ARG,-0.16267472811520636,-0.15250736735962173,-0.17534521307257708,0.598692360919266,0.3421902500342588,0.40078646163588755,0.7786314056251872,0.44377191637302715,0.0663764305927082,-0.21045207671747496,-0.16341801399976513,-0.2349986801571402,-0.19010099469832595,0.5553813913050215,-0.16060491131592441,-0.1880484943929764,0.019934768306791924,0.2216116043397396,0.792304065849584,-0.07742157984671492,-0.1895589507178402,-0.1799046075523933,0.2680480744547999,0.5358618039666178,0.20864006400538276,0.47348900158289237,0.06991597201430928,-0.15700029922894587,0.23416994591108803,0.47516577931458237,0.8727719212088458,0.3766789565322445,-0.16548174380918362,-0.20155056276908886,-0.23642706612124,-0.16177103540823085,-0.2872283363629762,-0.3030488765031394,-0.2256414243521128,-0.28515255291079955,-0.3057659065362772,-0.05597328995936882,0.25492763869429963,0.13734513976071458,-0.022625629983770868,-0.12032965385287703,-0.14610036478259225,-0.15187661461018084,-0.16360215507798015,0.08977146599163731,-0.1240798736909757,-0.1877872990370167,-0.18347196723864026,-0.30189583113581064,-0.2832726609776351,-0.2503538603355329,-0.2310914590863661,-0.2577530385142831,-0.29172532950641317,-0.10479487542334878,-0.1380362533361346
