Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10802010436104914,-0.10690304315548334,-0.10752724077521014,-0.10642558368355516,-0.1060495512363364,-0.105873630216157,-0.10562748217662861,-0.10798490759254356,-0.10854113293897899,-0.10952899194685535,-0.11004960782501579,-0.11176575186759696,-0.11324776247737799,-0.11429259286165991,-0.11519415927938267,-0.1149322023809727,-0.11530755971114871,-0.1168772478939684,-0.11904887489522326,-0.11859804878798422,-0.11873580869539332,-0.11770516625721773
Africa Eastern and Southern,AFE,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10802010436104914,-0.10690304315548334,-0.10752724077521014,-0.10642558368355516,-0.1060495512363364,-0.105873630216157,-0.10562748217662861,-0.10798490759254356,-0.10854113293897899,-0.10952899194685535,-0.11004960782501579,-0.11176575186759696,-0.11324776247737799,-0.11429259286165991,-0.11519415927938267,-0.1149322023809727,-0.11530755971114871,-0.1168772478939684,-0.11904887489522326,-0.11859804878798422,-0.11873580869539332,-0.11770516625721773
Afghanistan,AFG,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10802010436104914,-0.10690304315548334,-0.10752724077521014,-0.10642558368355516,-0.1060495512363364,-0.105873630216157,-0.10562748217662861,-0.10798490759254356,-0.10854113293897899,-0.10952899194685535,-0.11004960782501579,-0.11176575186759696,-0.11324776247737799,-0.11429259286165991,-0.11519415927938267,-0.1149322023809727,-0.11530755971114871,-0.1168772478939684,-0.11904887489522326,-0.11749838411802416,-0.11834058298093589,-0.11770516625721773
Africa Western and Central,AFW,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10802010436104914,-0.10690304315548334,-0.10752724077521014,-0.10642558368355516,-0.1060495512363364,-0.105873630216157,-0.10562748217662861,-0.10798490759254356,-0.10854113293897899,-0.10952899194685535,-0.11004960782501579,-0.11176575186759696,-0.11324776247737799,-0.11429259286165991,-0.11519415927938267,-0.1149322023809727,-0.11530755971114871,-0.1168772478939684,-0.11904887489522326,-0.11859804878798422,-0.11873580869539332,-0.11770516625721773
Angola,AGO,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10802010436104914,-0.10731083447487902,-0.10788439506559107,-0.106658364558624,-0.10633767082477114,-0.10593225725482718,-0.10584596166458114,-0.10800845220593656,-0.10868115034961005,-0.10937300502231247,-0.10983962393965452,-0.11163389022879847,-0.11290030311135225,-0.1139450731618548,-0.11466777794104435,-0.11446451756151332,-0.11486318182421411,-0.11660059462089604,-0.11879253829061678,-0.1184859637310303,-0.11874091542809166,-0.1181021548065024
Albania,ALB,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.1100126855718844,-0.11013586414255024,-0.10894648068515465,-0.11024690791056294,-0.10827195769506905,-0.107904304094757,-0.1066480095876753,-0.10716943658749678,-0.10595570903194308,-0.10564170554525833,-0.10530378824513754,-0.10513245333050351,-0.10723087172107164,-0.10788565388450334,-0.10865143291566796,-0.10925555191687075,-0.11111898150568256,-0.11250364379151499,-0.11353162559101465,-0.11437648248608584,-0.1141338778027242,-0.1144627075963598,-0.116141521959791,-0.11827447116364409,-0.11787999285378076,-0.11809838935962015,-0.1174665562355476
Andorra,AND,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10802010436104914,-0.10690304315548334,-0.10752724077521014,-0.10642558368355516,-0.1060495512363364,-0.105873630216157,-0.10562748217662861,-0.10798490759254356,-0.10854113293897899,-0.10952899194685535,-0.11004960782501579,-0.11176575186759696,-0.11324776247737799,-0.11429259286165991,-0.11519415927938267,-0.1149322023809727,-0.11530755971114871,-0.1168772478939684,-0.11904887489522326,-0.11859804878798422,-0.11873580869539332,-0.11770516625721773
Arab World,ARB,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10802010436104914,-0.10690304315548334,-0.10752724077521014,-0.10642558368355516,-0.1060495512363364,-0.105873630216157,-0.10562748217662861,-0.10798490759254356,-0.10854113293897899,-0.10952899194685535,-0.11004960782501579,-0.11176575186759696,-0.11324776247737799,-0.11429259286165991,-0.11519415927938267,-0.1149322023809727,-0.11530755971114871,-0.1168772478939684,-0.11904887489522326,-0.11859804878798422,-0.11873580869539332,-0.11770516625721773
United Arab Emirates,ARE,-0.09080930136719334,-0.0918636527239742,-0.09344015666402151,-0.09316324224628028,-0.09403070702470212,-0.0921867529716983,-0.09095323935899276,-0.08969071438867478,-0.09063517254137947,-0.08988214982227039,-0.09397173287349825,-0.09107461222213145,-0.0895906086662698,-0.0885563328855178,-0.08329577145549018,-0.08006366713743852,-0.08026258398734483,-0.08094733055996596,-0.08193755861468223,-0.08391336896597412,-0.0868298509397262,-0.08847298394221978,-0.08864653084530315,-0.0876763469938127,-0.08815027042008468,-0.08820424755845456,-0.0922187351692867,-0.09464706554861561,-0.09577990888600442,-0.09729798123419027,-0.09612589606357176,-0.0955793989552622,-0.09581683412553985,-0.0956417612239397,-0.10509389192046334,-0.10916873909624794,-0.11022224039519005,-0.10996806921132825,-0.10871550205344713,-0.11005999688555922,-0.10834071010771043,-0.10815217157696515,-0.10690458015769028,-0.10752724077521014,-0.10623137580248344,-0.10596486067523668,-0.1055401418075781,-0.10538553118055025,-0.10747673739951356,-0.10848221250009171,-0.10953577329488816,-0.11004192796444649,-0.11199206853038894,-0.11330880187612094,-0.11429259286165991,-0.1152857512271399,-0.11503563823268328,-0.11530755971114871,-0.11700235472531585,-0.1191118872017131,-0.11876422558401303,-0.11873580869539332,-0.11770516625721773
Argentina,ARG,-0.09598967831706072,-0.09636561659948707,-0.0983480272618702,-0.09837433319807819,-0.09887408747690159,-0.09618767484269274,-0.095094023919718,-0.09426458768245723,-0.09539343050642678,-0.09383435249977536,-0.09602219577189708,-0.09319792669994507,-0.09172203990591417,-0.09053243447721851,-0.08463836507492271,-0.08076482245885638,-0.08112368032584161,-0.0817081991555801,-0.08279678109216847,-0.08460890486428384,-0.08735893190351816,-0.08904528679849541,-0.08928381086292071,-0.08824828767938846,-0.08861255951219442,-0.08885170773708671,-0.09292545737624842,-0.09554766157791557,-0.0967583028755861,-0.09806871291594929,-0.0970662833294917,-0.09639587002063467,-0.09638649572210257,-0.09630734702263982,-0.10579089867481176,-0.11000280801608982,-0.11120329906385963,-0.11081515754576853,-0.10948556369231216,-0.11084248474341055,-0.1088916143855045,-0.10861242706570501,-0.10750870803690592,-0.10809843784462335,-0.10681745903720327,-0.10648241765991072,-0.10610954405858802,-0.10598610107733776,-0.1081961116894948,-0.10888030646519803,-0.10956811543128843,-0.11009816307120654,-0.11194811827411773,-0.11332104258289821,-0.1144231948418052,-0.1152230265401188,-0.114989480686286,-0.11530871377651192,-0.1170505198458263,-0.11930338629694391,-0.11894892089583553,-0.11914743362954242,-0.1184981611208995
